TIERSLU;Material;Material description;Date from;Date until;Despatch qty.;Unit;Cum. quantity;Libelle client
NPL;UNKNOWN;UNKNOWN;24.11.2025;24.11.2025;30000.00;PCE;8982053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;01.12.2025;01.12.2025;30000.00;PCE;9012053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;08.12.2025;08.12.2025;15000.00;PCE;9027053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;15.12.2025;15.12.2025;45000.00;PCE;9072053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;29.12.2025;29.12.2025;30000.00;PCE;9102053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;26.01.2026;26.01.2026;10000.00;PCE;9112053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;02.02.2026;02.02.2026;25000.00;PCE;9137053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;09.02.2026;09.02.2026;30000.00;PCE;9167053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;16.02.2026;16.02.2026;25000.00;PCE;9192053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;23.02.2026;23.02.2026;20000.00;PCE;9212053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;02.03.2026;02.03.2026;25000.00;PCE;9237053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;09.03.2026;09.03.2026;25000.00;PCE;9262053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;30.04.2025;30.04.2025;120660.00;PCE;8192053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;16.03.2026;16.03.2026;20000.00;PCE;9282053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;23.03.2026;23.03.2026;20000.00;PCE;9302053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;30.03.2026;30.03.2026;20000.00;PCE;9322053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;07.04.2026;07.04.2026;25000.00;PCE;9347053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;13.04.2026;13.04.2026;20000.00;PCE;9367053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;20.04.2026;20.04.2026;25000.00;PCE;9392053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;27.04.2026;27.04.2026;25000.00;PCE;9417053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;04.05.2026;04.05.2026;25000.00;PCE;9442053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;11.05.2026;11.05.2026;25000.00;PCE;9467053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;18.05.2026;18.05.2026;15000.00;PCE;9482053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;25.05.2026;25.05.2026;15000.00;PCE;9497053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;01.06.2026;01.06.2026;20000.00;PCE;9517053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;08.06.2026;08.06.2026;15000.00;PCE;9532053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;15.06.2026;15.06.2026;25000.00;PCE;9557053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;22.06.2026;22.06.2026;30000.00;PCE;9587053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;29.06.2026;29.06.2026;30000.00;PCE;9617053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;06.07.2026;06.07.2026;30000.00;PCE;9647053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;13.07.2026;13.07.2026;30000.00;PCE;9677053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;20.07.2026;20.07.2026;10000.00;PCE;9687053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;27.07.2026;27.07.2026;10000.00;PCE;9697053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;03.08.2026;03.08.2026;10000.00;PCE;9707053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;10.08.2026;10.08.2026;10000.00;PCE;9717053.00;Nidec Poland
NPL;UNKNOWN;UNKNOWN;05.10.2026;05.10.2026;5000.00;PCE;9722053.00;Nidec Poland
